Restaurant_id,Name,Country,City,Rating,Rating_count,Cuisine,Cuisine.1
576687,GOLDEN CAVE MULTICUISINE RESTAURANT,India,"Ameerpet,Hyderabad",,Too Few Ratings,"North Indian,Chinese","North Indian,Chinese"
203680,The Irish House,India,"Greater Kailash 2,Delhi",,Too Few Ratings,"American,European","American,European"
460950,Mangalam restaurant,India,"Garia,Kolkata",,Too Few Ratings,"Chinese,South Indian","Chinese,South Indian"
244225,Hotel Pandian,India,"Villivakkam,Chennai",3.8,100+ ratings,"South Indian,Biryani","South Indian,Biryani"
371473,Polar Star,India,"Annanagar,Chennai",,Too Few Ratings,"Continental,Italian-American","Continental,Italian-American"
295948,Yo! Pizza,India,Bathinda,3.8,50+ ratings,"Pizzas,Chinese","Pizzas,Chinese"
112531,Laxmi Confectioers,India,Ajmer,,Too Few Ratings,Desserts,Desserts
371244,VAAZHAI ILAI VIRUNDHU,India,"Mogappair,Chennai",,Too Few Ratings,"South Indian,Indian","South Indian,Indian"
562559,The Burger Company,India,"Dwarka,Delhi",,Too Few Ratings,"American,Beverages","American,Beverages"
261176,Santushti Shake & More,India,Anand,4.3,20+ ratings,"Desserts,Ice Cream","Desserts,Ice Cream"
486144,Hn'ny Pizzeria,India,Panipat,,Too Few Ratings,"Pizzas,Pastas","Pizzas,Pastas"
428240,Pizza Maker s,India,Hoshiarpur,3.4,20+ ratings,"Pizzas,Beverages","Pizzas,Beverages"
416549,Yadav Sweets And Dhaba,India,"Malviya Nagar,Delhi",3.5,20+ ratings,"Indian,Snacks","Indian,Snacks"
496058,The Oriental Bowl,India,"Powai,Mumbai",,Too Few Ratings,"Chinese,Snacks","Chinese,Snacks"
298351,GANGS OF GOLI,India,"Raj Nagar,Noida",,Too Few Ratings,Indian,Indian
182750,Bangs,India,Jammu,3.7,20+ ratings,North Indian,North Indian
421537,Slurpy Shakes,India,Noida-1,,Too Few Ratings,"Beverages,Ice Cream","Beverages,Ice Cream"
561050,Arctic Shakes,India,"Greater Kailash 2,Delhi",,Too Few Ratings,"Beverages,Ice Cream","Beverages,Ice Cream"
71460,Food Uncensored,India,"Malviya Nagar,Delhi",,Too Few Ratings,"Desserts,Pizzas","Desserts,Pizzas"
334993,Santushti tandoori affairs,India,"Malviya Nagar,Delhi",,Too Few Ratings,"North Indian,Indian","North Indian,Indian"
427778,PUNE ADDA,India,"Bibwewadi,Pune",4.5,50+ ratings,"North Indian,Chinese","North Indian,Chinese"
79653,Chennai Express,India,"Santoshpur,Kolkata",4.3,100+ ratings,South Indian,South Indian
555905,ROYAL PARATHA,India,Noida-1,,Too Few Ratings,"North Indian,Tandoor","North Indian,Tandoor"
530415,Pizza Inn,India,"Urapakkam,Chennai",,Too Few Ratings,"Pizzas,Italian","Pizzas,Italian"
416370,The Dessert Zone,India,Tirupati,3.7,100+ ratings,"Bakery,Desserts","Bakery,Desserts"
328627,Pizza By Jacks,India,"Dugri,Ludhiana",3.8,50+ ratings,Pizzas,Pizzas
551007,Street Food,India,Kendujhar,3.7,50+ ratings,"North Indian,Chinese","North Indian,Chinese"
557707,Hot Pan,India,"Viman Nagar,Pune",,Too Few Ratings,"Fast Food,Indian","Fast Food,Indian"
554753,Pizza Junction,India,"Narhe,Pune",,Too Few Ratings,"Pizzas,Fast Food","Pizzas,Fast Food"
485598,Mr&Mrs Biryani,India,"Madhapur,Hyderabad",4.2,20+ ratings,Biryani,Biryani
450510,PRADEEP EGG CENTER,India,"Rohini,Delhi",,Too Few Ratings,Snacks,Snacks
572899,Hotel Mamu Garden,India,Ramanathapuram,,Too Few Ratings,"South Indian,Chinese","South Indian,Chinese"
524513,CAFE NEW YORK GYMERS KITCHEN,India,Kapurthala,,Too Few Ratings,"Beverages,Fast Food","Beverages,Fast Food"
18110,Bhojohori Manna,India,"South Kolkata,Kolkata",4.3,100+ ratings,Bengali,Bengali
122928,Bowring Kulfis and Snacks (Goli Vadapav),India,"Yelahanka,Bangalore",,Too Few Ratings,Ice Cream,Ice Cream
85656,Gangour,India,"Piplod,Surat",3.8,50+ ratings,"Chaat,South Indian","Chaat,South Indian"
573456,"Frozen Bottle - Milkshakes, Desserts And Ice Cream",India,"Bandra West,Mumbai",4.5,20+ ratings,"Beverages,Desserts","Beverages,Desserts"
281602,harvest club,India,"Kothrud,Pune",4.5,20+ ratings,"Indian,Chinese","Indian,Chinese"
444780,THEOBROMA,India,"Rohini,Delhi",4.5,100+ ratings,"Desserts,Bakery","Desserts,Bakery"
542473,FRISPY,India,"Alwal,Hyderabad",,Too Few Ratings,"Fast Food,Snacks","Fast Food,Snacks"
521325,Chai waale,India,"Guindy,Chennai",4.3,50+ ratings,"Bakery,Beverages","Bakery,Beverages"
407378,Wow! China,India,"Velachery,Chennai",3.4,100+ ratings,"Tibetan,Chinese","Tibetan,Chinese"
484630,SRI GAGA PIZZA'S,India,Kakinada,,Too Few Ratings,"Italian,Fast Food","Italian,Fast Food"
538697,The Hangover BBQ Chicken Truck,India,Thiruvarur,,Too Few Ratings,Barbecue,Barbecue
519192,Narayan Dakshin Dawangere Dosa Center,India,"Swargate,Pune",,Too Few Ratings,South Indian,South Indian
329461,BAKKINGS ELITE,India,"Annanagar,Chennai",,Too Few Ratings,"Bakery,Fast Food","Bakery,Fast Food"
367755,Anushka Chicken - Fish Fry,India,Ujjain,,Too Few Ratings,"Street Food,Indian","Street Food,Indian"
202313,DSF Grand Plazas PVT Ltd,India,Thoothukudi,,Too Few Ratings,"Chinese,Indian","Chinese,Indian"
440612,Taste Hub,India,"Gandhibagh,Nagpur",,Too Few Ratings,"Italian,Fast Food","Italian,Fast Food"
429024,Cheesecake & co.,India,Bikaner,4.3,100+ ratings,Bakery,Bakery
487593,WTF Nukkad,India,Jhansi,3.8,20+ ratings,"Chinese,Continental","Chinese,Continental"
548710,Samosa Party,India,"HSR,Bangalore",4.3,100+ ratings,"Chaat,North Indian","Chaat,North Indian"
572032,Veer ji da dhaba,India,"Rajouri Garden,Delhi",,Too Few Ratings,"North Indian,Snacks","North Indian,Snacks"
528277,Patitapaban Pure Veg Fast Food,India,Puri,,Too Few Ratings,"South Indian,Chinese","South Indian,Chinese"
529883,24 hrs taste of chandani chowk,India,"Dwarka,Delhi",,Too Few Ratings,North Indian,North Indian
382965,Mannas Chats Jam,India,"Rajarajeshwari Nagar,Bangalore",3.7,20+ ratings,"Snacks,Indian","Snacks,Indian"
566478,Faasos' Signature Wraps & Rolls,India,"Bandra West,Mumbai",,Too Few Ratings,"Snacks,Beverages","Snacks,Beverages"
172648,Hot N Chillj,India,"Rohini,Delhi",,Too Few Ratings,"Italian,Chinese","Italian,Chinese"
501942,RUCHI BITES,India,"Koramangala,Bangalore",,Too Few Ratings,Fast Food,Fast Food
172891,Jay Bhagvati Dryfruit Dish Gola,India,"Adajan,Surat",3.8,20+ ratings,"Desserts,Ice Cream","Desserts,Ice Cream"
569746,POOJA CATERERS,India,"Shivaji Nagar,Pune",,Too Few Ratings,"Fast Food,Beverages","Fast Food,Beverages"
420516,Food beast,India,Sultanpur,,Too Few Ratings,Chinese,Chinese
310658,ATTI JUICE & SNACKS,India,"Arumbakkam,Chennai",,Too Few Ratings,Indian,Indian
197706,Bikkgane Biryani,India,"Powai,Mumbai",4.1,1K+ ratings,"Biryani,Hyderabadi","Biryani,Hyderabadi"
567602,SS Food Court,India,"Gachibowli,Hyderabad",,Too Few Ratings,South Indian,South Indian
226946,Juices Zone,India,"BTM,Bangalore",3.1,20+ ratings,Beverages,Beverages
119672,Fresh Need Foods,India,Muzaffarpur,3.5,20+ ratings,"North Indian,Chinese","North Indian,Chinese"
419422,SARDAR JI MALAI CHAAP WALE,India,Kurukshetra,,Too Few Ratings,"Tandoor,Snacks","Tandoor,Snacks"
561840,NANASHRI MESS,India,"PCMC,Pune",,Too Few Ratings,"Indian,Biryani","Indian,Biryani"
506086,Green Grotto Bistro,India,Udaipur,,Too Few Ratings,"Snacks,Fast Food","Snacks,Fast Food"
437817,Pind Punjabi Express,India,"Rajarhat,Kolkata",3.8,50+ ratings,"North Indian,Indian","North Indian,Indian"
536632,ARTIST CAKE,India,Namakkal,,Too Few Ratings,Bakery,Bakery
371122,Golden Spoon,India,"Central Kolkata,Kolkata",4.0,20+ ratings,"Chinese,Biryani","Chinese,Biryani"
367800,Sukhi De Parathe,India,"Wakad,Pune",,Too Few Ratings,"North Indian,Chinese","North Indian,Chinese"
503798,Sandwich Junction,India,"Whitefield,Bangalore",,Too Few Ratings,Fast Food,Fast Food
187600,A.K. Chicken Corner,India,Bijnor,3.7,50+ ratings,"North Indian,Mughlai","North Indian,Mughlai"
467264,Samosa Cafe,India,"BRS Nagar,Ludhiana",,Too Few Ratings,"Snacks,American","Snacks,American"
71784,Euphoria Restaurant,India,"Nandanvan,Nagpur",,Too Few Ratings,"North Indian,Chinese","North Indian,Chinese"
521324,Momos Heaven,India,Karnal,,Too Few Ratings,"Chinese,Snacks","Chinese,Snacks"
407254,Pizza Hut,India,"Battarahalli,Bangalore",3.6,100+ ratings,Pizzas,Pizzas
